title,desc,year,genre,certificate,runtime,rating,votes
One Crazy Family,"This TV show follows the misadventures of the Jonsonn family, living in a small house in Hemet, California, and having barely any money left. They get threatened to be evicted, by their terrible realtors, who show no mercy at all",,"Animation, Adventure, Comedy",,,,
All Star Cartoon Revue,Add a Plot,1979,"Animation, Family",,,4.4,18
Twaddle,Twaddle is the story of six orphaned toddlers who journey through the city of Denver and surrounding suburbs in search of a home.,,Animation,,,,
Saishû shiken kujira,Add a Plot,2007– ,Animation,,,4.1,9
Mario and Faded's Pog Adventures,Two best friends experience the crazy adventures that happen in the city of Pogville.,2021– ,"Animation, Adventure, Comedy",,,8.2,15
Robot Monkey,Plot under wraps.,,Animation,,,,
Senko 8: Timeskip,Add a Plot,2008–2015,"Animation, Action",,,,
Isewan Taifuu Monogatari,Add a Plot,1989,Animation,,85 min,,
Ninjago: Resurrection,"After finding out Wu is still alive, Lloyd must re-assemble the ninja team and others in hopes of reaching Keeper's Island. Sequel series to Ninjago: Return of The Oni.",2022– ,"Animation, Action",,,,
Run Fast! Ruben Kaiser,A race car driver competes around the world in a race car left to him by his father.,1977–1978,"Animation, Sport",,30 min,,
Girl Gaku. Hijiri Girls Square Gakuin,Add a Plot,2020– ,Animation,,,,
Gadget Heads: Famous Inventors,Jon mega smart space cadets Scarp and Hub for a journey of learning and discovery like never before. This time around the duo embarks on a mighty adventure to meet and learn about the ...                See full summary »,2020,"Animation, Family",,60 min,,
Weird Years,Add a Plot,2006–2007,Animation,,23 min,6.7,12
Ruby,"An adventure about friendship and life on the Planet Hera populated by stones characters (rubies, diamonds, emeralds...)",I,Animation,,90 min,,
Balls!,"A digitally animated series about two wanted ball like people who are looking to start trouble, well, Billy does while William really doesn't want to break the law anymore because he wants to start a new life.",2022– ,"Animation, Comedy, Drama",,10 min,,
Aya and Yusuf,Aya and Yusuf are two adorable and adventurous 6-year-old twins with a passion for exploring the world around them. The series focuses on embracing family values such as helping those in ...                See full summary »,2020– ,"Animation, Family",,70 min,9.0,22
Celeste Kennicot,"Narcissistic and wealthy dwellers of the house competing for the right to be the head, but one event made them to reconsider their understanding of the leadership.",2016,"Animation, Adventure, Comedy",,65 min,,
Kabatotto,Add a Plot,1971–1972,"Animation, Comedy",,3 min,6.9,19
Le fiabe di nonno Ciccio,Add a Plot,1996,"Animation, Family",,,,
Wekker Tam-Tam,Add a Plot,1927,Animation,,,4.4,18
Tadhana,"Directed by the cartoonist Nonoy Marcelo, Tadhana is the first Philippine full-length animated film. It was commissioned to be based on the book of the same name on the history of the ...                See full summary »",2022,Animation,,54 min,,
Toppu GP: The Anime Video Comic,"Toppu Uno has spent his entire childhood watching his sister race. Now its his turn to ride, but he's got a long way to go if he wants to make it into the big leagues: MotoGP.",2017– ,Animation,,,,
Soreike! Anpanman: Omocha no hoshi no Nanda to Runda,Add a Plot,2016,Animation,,62 min,,
MULT v kino. Vypusk # 91,"In the new issue Mi-mi-mishki will create a friend guard machine, Leo and Tig will make friends with a Chinese monkey. Also, viewers will see the new episodes of cartoons ""Skazochnyy patrul...                See full summary »",2019,Animation,,51 min,,
Furiten-kun,Add a Plot,1981,Animation,,75 min,,
Pets: Top 10 Pets,"Woof. Everyone's favorite couch potato pets, Bella the cat, Bagel the pooch, and Alvin the mouthy parrot break it down yet again from the comfort of their couch with an all out winged, ...                See full summary »",2021,Animation,,50 min,,
Muncle Trogg,"In a world of giants, Muncle Trogg, is ridiculed because he is merely the same size as a human.",,Animation,,,,
Die Reine Notwendigkeit,Add a Plot,2017,Animation,,50 min,7.8,9
Story Time,Add a Plot,,"Animation, Comedy",,,,
"Osmar, the First Slice of the Loaf: The Movie","A first slice of a loaf of bread arrives in the big city trying to get fame and overcome the fact that it was left on the packaging. Between fermented egos artists and audience disputes, ...                See full summary »",2019,"Animation, Comedy",,80 min,7.4,38
To the Sky,"The main story takes place in VasDahiv. Where all the Persian, Turkish and Tajik folk characters live. Arta, Datis and Avina, embark on a terrifying adventure and discover that a demonic creature is trying to steal the city's children.",2019– ,"Animation, Drama, Fantasy",,,6.6,29
Autopohádky,Car Fairy Tales is a feature-length animated film comprising five 14-minute tales. Each episode has a different production designer and director.,2011,"Animation, Comedy, Family",,85 min,6.3,40
The Last Winter in Westchase,Add a Plot,,Animation,,,,
"Boing, The Secret of Super Transformation",Add a Plot,2018,"Animation, Adventure",,72 min,,
Goin' South,"Heartwarming and humorous, Goin' South is about a duckling (DUCKY) and a bloodhound puppy (BUCKY), who retrieves him after his master shoots him, breaking his wing. The new pals journey on ...                See full summary »",,Animation,,,,
The Great AdVenture,Add a Plot,2020– ,Animation,,,,
Mi amigo el Sol,Add a Plot,,Animation,,,,
Overcoming,Follows some of the greatest athletes in the world and their biggest challenges outside of sports.,,Animation,,,,
O klukovi z plakátu,Add a Plot,1970–1983,"Animation, Short, Comedy",,,7.8,27
The Charlie Show,Add a Plot,2019–2021,"Animation, Comedy",,,,
Santa Company,"A young girl joins the Santa Company, a company that delivers presents to children around the world.",2013,Animation,,,5.2,34
Minecraft's Curse of Herobrine,Add a Plot,2020– ,"Animation, Adventure, Fantasy",,,,
Pykhchevo,Add a Plot,2010–2013,"Animation, Comedy",,,,
Sammy the Short-Nosed Saibol Antelope,Add a Plot,2022– ,Animation,,,,
Harisu no kaze,Add a Plot,1966–1967,Animation,,30 min,,
Super Fails,Add a Plot,2022– ,Animation,,,,
Lucky Four in the Service of the King,"For the first time ever Fifi the Dog, Mousley the Cat, Scout the Rabbit and Buddy the Pig are on the big screen. This hilarious, dynamic and modern adventure is full of surprises, twists and turns.",2013,Animation,,,,
Transformers vs. GI Joe: The Commissary,Add a Plot,2015– ,"Animation, Comedy, Sci-Fi",,,,
Desterrada,"Ana's friends go to war, she waits for them in the city, surrounded by planes, missiles, and explosions.",2014,"Animation, Drama",,79 min,7.3,39
News to Me,"Fresh from Cyanide and Happiness, machismo-soaked news anchor Chip Chapley is back with a show of his own and the same magnificent mustache. NEWS TO ME brings you stories that matter, and ...                See full summary »",2018– ,Animation,,,8.0,7
Lenzuoli: La Serie,Add a Plot,2013,Animation,,,,
Uncovered,"Matt, Nate and Zoe will discover a new world which will challenge the logic and physics of the Earth. They will meet a new species and new characters that will make their adventure a gloomy path full of insanity, hate and nightmares.",I 2016– ,"Animation, Adventure, Comedy",,,8.3,14
Gekijouban Shimajirou no wao!: Shimajirou to ookina ki,"This is the third movie starring a tiger boy named Shimajiro, and it will be screened in movie theaters around Japan. Like its two predecessors, the movie has been conceived to be a child's...                See full summary »",2015,"Animation, Adventure, Family",,60 min,,
Eiga Purikyua ôru sutâzu DX 2: Kibou no hikari Reinbô jueru o mamore!,Add a Plot,2010,Animation,,,6.5,17
Mahô tsukai Chappy,Chappy comes down to earth from the land of magic with her magic family.,1972,"Animation, Comedy, Family",,24 min,6.0,15
Chironup no Kitsune,"Foxes Ken and Chin become the proud parents of cubs, Koro and Kan, who enjoy a carefree life on the northern Japanese island of Chironup. They befriend a fisherman and his wife but are ...                See full summary »",1987,"Animation, Drama",,72 min,7.1,14
Slammin' Sammy: The Sammy Sosa Story,Add a Plot,2002,Animation,,60 min,,
Flying with Byrd,"Pop star Byrd guides a colorful group of perky friends through time and space, searching for the lost musical notes of the universe, pursued by arch-enemy Professor Belton Sournotes, the worst singer (and biggest ego) in history.",2011– ,"Animation, Adventure, Comedy",,11 min,,
Mythatania,"Scottish siblings, Erin and Owen Macdonald, are swallowed by The Loch Ness Monster and brought to the magical land of Mythatania where all creatures heard of in Myth and Folklore have gone to escape the outside world.",,Animation,,,,
Haplea,"Haplea arrives in the village of Haplesti after travelling over 100 kilometers. He falls in love with Frosa, a widow, and they are planning to marry.",1928,Animation,,,7.0,37
The Third Path,Add a Plot,,Animation,,,,
Dawn,Dawn is a visual into the possible thought of a World War 3 on all sides of the conflict.,I,"Animation, Drama, War",,,,
Wolves and Dogs: Howls for Full Moon,Add a Plot,2015,"Animation, Adventure, Comedy",,97 min,,
Valentine's Day Dance,"It's Valentine's Day and all the inhabitants of Sunnyville are celebrating. Besties Beezbee the bee, Peanut the giraffe and Brooklyn the lion are trying to figure out what Valentine's Day is all about.",2021,"Animation, Family",,61 min,,
Accidental Fairy,Add a Plot,,"Animation, Action, Fantasy",,,,
Donald Duck's Fun Festival,Add a Plot,1976,"Animation, Family",,63 min,5.7,25
Gulliver chez les Lilliputiens,Lemuel Gulliver washes ashore on Lilliput and attempts to prevent war between that tiny kingdom and its equally minuscule rival Blefuscu.,1923,Animation,,,6.5,17
The Adventures of Fleebert the Flamingo,Add a Plot,,Animation,,100 min,,
Snow White and the Prince of Frogs,Add a Plot,1996,"Animation, Fantasy",,80 min,,
Santa's Partyland,Add a Plot,2019,Animation,,,,
Kao an,"Frostlight is a naive girl who disregards a fortuneteller's warning, and her actions catch the attention of evil Asura. This extraordinary adventure into one's inner self, reveals that the ...                See full summary »",2009,Animation,,81 min,2.8,38
Haunted Transylvania: Party Like Frankenstein,"Halloween is finally here and there's so much fun to be had in Monster Town. Brains the adorable zombie and Woof the werewolf pup travel up and down Monster Town looking for something very important, the best Halloween scare ever.",2021,Animation,,60 min,,
Êsu wo nerae! 2,Add a Plot,1988,"Animation, Drama, Sport",,25 min,,
Bee-Z,Add a Plot,,Animation,,,,
The Hashtag Show,Add a Plot,2018– ,Animation,,,,
Swede 16,Add a Plot,2012,"Animation, Comedy",,2 min,,
Space Knight,A hip hop space adventure.,,"Animation, Adventure, Music",,,,
Lego Ninjago Shadow of Ronin Gameplay,Add a Plot,2018,Animation,,,,
Mighty Behemoth: The Adventure Begins,A trio of misfit heroes traverse space and time to maintain peace.,2015,"Animation, Adventure, Fantasy",,80 min,,
Carnaby Street,Add a Plot,2000– ,Animation,,,,
Jetpulse Superheroes: The Animated Series,The fate of the Universe is in the hands of a young superhero who is on the autism spectrum.,,Animation,,,,
Gatto Filippo - Licenza di incidere,Add a Plot,1966,Animation,,76 min,,
Tow Truck Hero!,Earl operates a tow truck and secretly defends the small town of Thornwood from ever-present forces of evil.,,Animation,,,,
Goin' SouthWest,"Kimo (the monkey from Goin' SouthEast), learns his parents were sent from the Central Park Zoo, to Los Angeles and San Diego, due to fighting (about Kimo's kidnapping). All the animals travel to California, half on the rescue to each zoo.",,Animation,,,,
Gobsmack!,Add a Plot,,"Animation, Adventure, Comedy",,,,
Minami-ke: Okaeri,"A year has passed since ""Minami-ke: Okawari"" and the three sisters have grown up. Their likings and moods are almost the same. Haruka, the older sister, is a love-giving mother to the ...                See full summary »",2009– ,"Animation, Comedy",,,7.3,93
Triskipolis,"Two kids, brothers, discover Triskipolis, the hidden city of elves, with the help of their uncle.",2019,Animation,,65 min,,
Tabloids: The Animated Web Series,The animated antics and emotional turmoil of a high school newspaper class.,2018– ,"Animation, Comedy, Drama",,,,
